target_pred_class,prob_predictions_0,prob_predictions_1,prob_predictions_2,prob_predictions_3,prob_predictions_4,prob_predictions_5,prob_predictions_6,prob_predictions_7,prob_predictions_8,prob_predictions_9,prob_predictions_10,num_labels,class_labels
9,3.4350388e-14,2.0477202e-17,6.198894e-08,1.4707753e-19,1.017438e-12,1.4272759e-12,4.646743e-16,1.478143e-12,2.8597094e-15,0.9999999,6.23732e-12,9,hcp11m20
3,1.6525923e-06,5.7030687e-09,7.3183183e-17,0.99999833,4.322678e-11,8.9630343e-13,1.321292e-12,3.348681e-12,2.7306998e-13,5.2490423e-10,8.8359154e-13,3,fcc100
6,1.097701e-11,9.003567e-14,8.063497e-18,6.1715216e-13,1.7974003e-16,3.2879816e-10,1.0,4.821334e-13,1.6062293e-13,1.9047629e-19,5.2568436e-11,6,fcc211
3,1.5793661e-06,7.4178824e-10,4.2351338e-11,0.9999982,6.7217086e-11,2.2985139e-10,1.8334084e-07,8.8950895e-11,6.1288236e-13,2.8622972e-11,1.12301085e-10,3,fcc100
0,0.99999964,2.2976808e-13,1.3638062e-15,2.7989003e-10,9.876455e-14,1.4560084e-13,2.3252708e-13,4.0279016e-07,3.2033193e-16,4.671157e-14,1.6961436e-13,0,bcc100
4,8.476246e-12,2.5694104e-14,3.7710848e-10,8.588017e-11,1.0,3.694803e-14,4.54733e-14,4.234731e-14,6.138184e-16,1.5023666e-11,1.04202806e-10,4,fcc110
5,2.0321727e-13,1.14956745e-14,2.286931e-20,1.1808432e-16,5.0712548e-23,1.0,4.090051e-12,2.5768095e-08,8.795285e-14,3.5465352e-17,3.5288187e-23,5,fcc111
9,4.1984237e-12,5.4988304e-17,4.1565613e-08,9.423691e-19,5.6162876e-13,5.1695107e-12,1.6978668e-16,1.2123341e-10,2.0171603e-15,1.0,8.7750404e-11,9,hcp11m20
4,1.0934482e-08,1.8122795e-15,1.6096444e-11,4.2423324e-13,1.0,1.5599972e-13,2.8760463e-13,3.0544736e-12,6.4684205e-15,7.196672e-09,1.1103115e-12,4,fcc110
5,3.1092422e-09,3.7167513e-12,2.9249797e-11,2.8812885e-09,7.12937e-12,0.9999994,3.255628e-07,2.2757835e-07,3.8857296e-11,5.290686e-12,7.005962e-15,5,fcc111
5,3.223575e-13,2.4015368e-17,1.7667662e-11,5.127595e-13,2.346411e-13,0.99999976,2.1948584e-07,1.259426e-10,1.8940303e-13,1.5921341e-13,1.2857007e-16,5,fcc111
5,5.1210376e-13,1.5265492e-19,1.3137565e-14,2.9731335e-12,5.6822896e-15,1.0,1.5177137e-09,5.0112765e-11,1.1527769e-15,1.7490913e-13,1.0072074e-18,5,fcc111
4,1.089792e-08,2.9936283e-13,1.687902e-09,1.2657967e-09,1.0,1.1157259e-14,9.950684e-12,1.1757568e-13,2.6686066e-14,4.9606173e-11,1.2053955e-11,4,fcc110
6,7.84785e-19,1.8382075e-12,4.622137e-15,3.1584013e-12,1.4780064e-14,8.946406e-11,1.0,2.7383937e-12,5.4462605e-11,1.045977e-17,4.355296e-17,6,fcc211
6,1.8306855e-15,5.6588418e-11,2.9536145e-17,3.0710877e-12,3.792113e-16,6.1507535e-14,1.0,1.6193444e-15,2.932151e-09,6.3849174e-16,4.0349384e-11,6,fcc211
3,1.5367732e-09,7.272502e-15,5.7431523e-16,1.0,1.8027601e-12,2.3124902e-16,6.2233496e-11,2.8339958e-10,2.3656495e-13,5.4100282e-17,2.139225e-17,3,fcc100
3,1.2990752e-10,1.5311147e-09,1.8211344e-17,1.0,2.4553265e-12,1.6005044e-13,5.599252e-12,7.536299e-12,6.6387975e-19,7.270552e-17,1.3897211e-12,3,fcc100
6,2.7410566e-21,9.341849e-16,2.5630897e-19,2.067498e-19,3.4911525e-24,3.3957004e-10,1.0,6.724653e-16,4.4194953e-10,3.644517e-16,1.1226442e-18,6,fcc211
7,1.721877e-14,5.8968175e-07,7.3877234e-16,1.1640667e-15,3.982124e-17,2.990941e-15,1.2286652e-11,0.9999994,8.0859066e-13,6.6851355e-15,4.5995522e-14,7,hcp0001
8,2.3148898e-13,3.209865e-08,2.67816e-08,2.5399406e-14,1.21992e-12,9.462796e-11,8.154371e-12,1.8881344e-08,0.9999999,1.9722769e-13,1.7314905e-11,8,hcp10m10
1,0.0003127367,0.9994074,6.8602424e-07,1.3941495e-09,3.5883225e-09,1.9613232e-10,2.9961205e-09,2.1081257e-06,0.0002765625,5.554733e-10,3.7595044e-07,1,bcc110
7,1.0087682e-11,3.852358e-09,4.4323155e-15,5.4587924e-11,1.3204162e-14,1.3234237e-11,1.2504687e-11,1.0,2.2582531e-09,6.4277783e-17,2.4541122e-17,7,hcp0001
8,6.0390306e-17,1.4002022e-11,3.4937832e-13,2.887692e-18,1.5779609e-14,1.6692295e-10,4.2629233e-11,2.6383342e-12,1.0,7.557389e-15,8.266378e-14,8,hcp10m10
1,9.579315e-10,1.0,4.093726e-09,3.8492746e-12,2.296973e-12,1.6637344e-13,6.429561e-12,8.517797e-09,3.2297322e-08,1.5589235e-13,6.5883576e-10,1,bcc110
8,4.7432333e-17,3.504313e-05,2.9185107e-10,2.4476993e-15,1.5464562e-11,1.4302103e-08,6.895289e-12,8.832618e-10,0.99996495,1.9836976e-15,7.304941e-12,8,hcp10m10
0,1.0,1.3031385e-20,1.7994878e-14,3.750544e-12,2.2692592e-09,4.4515827e-22,3.1304582e-20,4.8151658e-21,7.5422423e-22,4.9295646e-12,1.4538687e-14,0,bcc100
3,3.781911e-05,6.29276e-11,3.6248543e-10,0.9999622,1.5871308e-11,1.3745183e-09,1.5612385e-10,3.2362756e-12,1.647801e-11,3.065785e-13,1.2272721e-12,3,fcc100
10,6.3929396e-11,1.2695638e-09,5.9287807e-13,2.0354476e-16,1.3318648e-13,4.3288417e-18,1.4769187e-14,5.3262834e-14,7.915942e-14,3.791137e-12,1.0,10,hcp2m1m10
4,1.3523417e-08,8.996821e-14,1.180581e-10,2.1422898e-11,1.0,2.9847397e-13,3.652961e-11,1.213684e-12,4.4691192e-17,1.118935e-11,1.7909577e-11,4,fcc110
10,1.551405e-12,1.3326737e-12,2.5468646e-17,3.5862213e-16,4.557615e-16,1.4043401e-18,2.1086321e-13,2.7803481e-21,7.955176e-21,2.608028e-13,1.0,10,hcp2m1m10
7,2.0029417e-10,5.4388516e-10,2.406635e-18,7.183615e-13,7.1117474e-19,5.5957527e-11,4.7878784e-12,1.0,5.440309e-12,5.920734e-17,6.545838e-16,7,hcp0001
10,9.191341e-11,1.00566e-11,1.7990681e-15,8.358241e-17,6.7823805e-14,1.5951974e-18,3.888176e-16,4.2232422e-19,4.8758396e-17,4.2884734e-11,1.0,10,hcp2m1m10
9,2.3871271e-11,5.6251714e-18,4.166012e-09,6.461794e-20,3.8261387e-11,7.391111e-12,5.944928e-17,5.461133e-12,3.6063603e-16,1.0,2.7429548e-10,9,hcp11m20
9,1.157462e-14,2.7315865e-16,3.5016826e-06,1.839502e-20,1.1511702e-13,1.7271744e-14,4.1937726e-17,2.6725221e-12,1.1020497e-12,0.99999654,2.3362085e-13,9,hcp11m20
0,1.0,3.7308265e-18,2.3117658e-17,2.508268e-10,1.6657644e-08,3.5918429e-19,4.3298963e-19,4.291022e-13,8.269234e-21,2.7575642e-10,4.4832393e-10,0,bcc100
8,1.0562185e-15,2.5012765e-08,9.234223e-21,1.0016401e-18,3.1221752e-24,1.1107817e-12,9.968138e-09,4.524203e-15,1.0,2.2895346e-18,4.944117e-14,8,hcp10m10
1,2.1963886e-14,0.9821035,2.3112333e-13,8.328843e-15,7.930228e-17,2.737507e-08,9.0556946e-12,1.029968e-06,0.017895423,3.7141744e-16,1.3428848e-13,1,bcc110
4,3.127611e-09,7.126097e-16,1.2359775e-12,9.505161e-15,1.0,2.323754e-14,3.814541e-17,6.093528e-13,7.0206804e-15,1.7831708e-09,2.8084667e-11,4,fcc110
5,7.4470066e-12,3.695206e-17,4.584842e-13,3.8805383e-12,5.1320063e-14,1.0,3.6098142e-09,1.4227013e-09,4.9523446e-15,1.2104012e-12,7.161516e-18,5,fcc111
3,4.465697e-08,9.2517805e-10,1.1949969e-13,1.0,4.4977073e-13,5.954666e-09,1.0080466e-08,4.68971e-10,2.5081935e-16,3.0143207e-15,2.1525888e-13,3,fcc100
7,2.3072574e-15,1.317779e-11,6.099568e-19,1.3162495e-18,1.3887555e-21,4.5170116e-15,1.3834858e-18,1.0,7.3109745e-14,2.5905072e-17,2.1440042e-17,7,hcp0001
8,7.426572e-18,1.6822869e-13,1.2953401e-16,1.877889e-18,2.4729413e-20,3.92728e-14,1.9641854e-11,1.8449308e-08,1.0,5.0338838e-15,1.483269e-16,8,hcp10m10
1,1.1332972e-12,0.9999982,4.2932204e-15,1.0406312e-15,1.108633e-13,2.008468e-08,5.6735006e-10,2.5060436e-11,1.7888781e-06,1.0492808e-12,2.6947927e-12,1,bcc110
10,1.5095849e-15,1.230668e-16,2.8644017e-17,4.293704e-22,9.646967e-15,1.5123758e-21,6.63581e-19,6.686114e-21,2.6415688e-18,3.7526514e-14,1.0,10,hcp2m1m10
4,1.585613e-09,2.9214558e-16,4.1523788e-11,5.587223e-14,1.0,2.3697237e-16,2.1527849e-14,5.5334015e-10,1.8781595e-20,9.17233e-13,1.5053884e-13,4,fcc110
4,9.180156e-07,5.5317964e-16,7.3618854e-11,1.2293311e-10,0.99999905,8.3751934e-14,3.4031323e-11,3.7687156e-10,2.8128688e-16,6.05175e-11,3.6009636e-11,4,fcc110
