target_pred_class,prob_predictions_0,prob_predictions_1,prob_predictions_2,prob_predictions_3,prob_predictions_4,prob_predictions_5,prob_predictions_6,prob_predictions_7,prob_predictions_8,prob_predictions_9,prob_predictions_10,num_labels,class_labels
9,3.3246693e-15,2.3032266e-14,5.7422685e-11,3.4400994e-15,7.7954326e-10,1.3430911e-18,5.634833e-19,1.364343e-22,7.7991924e-22,1.0,3.0135803e-18,9,hcp11m20
3,1.8157239e-07,3.0152417e-10,2.01548e-18,0.99999976,1.5869915e-10,4.5710812e-20,5.5127235e-13,4.1275217e-18,1.8269904e-12,2.3424707e-10,3.6587807e-12,3,fcc100
6,5.174876e-20,2.1624162e-20,1.4505402e-24,1.3107522e-19,1.3861558e-15,2.2341526e-18,1.0,3.0629317e-24,1.7980724e-16,1.6836851e-22,6.7599195e-22,6,fcc211
0,0.9223934,4.1142195e-13,2.3491934e-13,0.07760656,1.102986e-11,1.0648336e-12,2.4904778e-10,1.6304534e-14,4.577888e-13,3.8136483e-13,2.0018681e-11,3,fcc100
0,1.0,2.141288e-12,7.112829e-20,2.1535692e-14,9.472831e-16,1.3652475e-24,6.9202106e-19,3.2827935e-21,7.076748e-21,6.3377066e-20,2.6342228e-18,0,bcc100
4,3.7248755e-14,1.43641e-14,2.231484e-09,1.26449525e-14,1.0,1.4347143e-15,4.8378477e-14,4.5274853e-14,5.4425526e-15,7.214193e-17,3.184486e-15,4,fcc110
5,1.7115782e-20,1.3318209e-18,2.062819e-11,2.804418e-16,3.64867e-12,1.0,4.572482e-18,1.0803439e-20,4.729939e-24,9.902237e-19,1.4052612e-19,5,fcc111
9,3.6163463e-17,6.0980086e-19,2.9478056e-10,2.104139e-18,2.2064057e-11,7.6011183e-19,3.4668133e-24,1.4159118e-24,1.0881417e-25,1.0,1.907496e-20,9,hcp11m20
4,1.8944755e-09,9.236175e-14,4.787908e-11,3.9472076e-12,1.0,9.775672e-13,7.413164e-12,1.2102453e-14,4.8874603e-13,3.8206235e-12,1.0956526e-12,4,fcc110
5,4.741577e-15,3.4966963e-17,1.7132101e-10,3.556805e-17,1.6174377e-10,1.0,1.3347776e-08,1.2096057e-11,3.7567632e-17,1.9579497e-15,2.9552394e-12,5,fcc111
5,1.1032923e-12,3.22322e-20,6.3225224e-11,6.3429676e-16,6.869404e-13,1.0,2.2767462e-13,1.4504686e-16,4.2449297e-21,4.5159435e-15,5.1749017e-14,5,fcc111
5,9.874382e-21,5.7008794e-27,5.66283e-12,2.9532263e-19,7.4928835e-07,0.9999993,3.3593775e-10,1.5233667e-18,1.0839174e-21,1.9884619e-16,3.0653517e-15,5,fcc111
4,1.952828e-08,4.6590227e-17,1.9643369e-07,6.513689e-13,0.99999976,1.0794419e-08,1.4164058e-09,4.5696083e-16,6.2278416e-13,2.078508e-09,8.56892e-11,4,fcc110
6,1.605443e-12,8.916601e-17,4.258804e-18,8.9499595e-14,8.441333e-12,2.864357e-14,1.0,1.6711424e-12,1.1163613e-12,3.799401e-21,5.5610206e-16,6,fcc211
6,2.0620113e-16,1.8117443e-18,1.18569765e-20,1.9091741e-16,1.8053861e-15,2.539288e-17,1.0,5.119796e-21,2.4655477e-12,7.653395e-21,2.1470254e-16,6,fcc211
3,1.0580141e-05,1.6219363e-07,1.5989156e-17,0.9999893,2.0647178e-11,1.565945e-14,8.787177e-10,3.6065405e-13,7.514949e-11,3.1381598e-13,5.0846306e-13,3,fcc100
3,2.3198223e-05,1.2430229e-07,5.884469e-13,0.99997663,4.35908e-11,1.2051831e-08,7.714855e-11,1.207535e-11,5.9518133e-09,1.1770824e-13,4.4137028e-15,3,fcc100
6,9.311342e-12,7.805798e-15,3.209205e-15,2.845116e-13,2.3266667e-15,1.5407292e-13,1.0,3.878558e-18,2.3422868e-11,9.707318e-16,2.0655899e-12,6,fcc211
7,4.8684123e-14,1.3150277e-10,1.1622826e-13,3.258661e-11,5.6458286e-11,9.349875e-11,2.0364244e-10,0.9999999,6.3901815e-08,1.0108969e-14,1.7727628e-13,7,hcp0001
8,1.7311363e-16,4.4362425e-10,5.46304e-23,1.578593e-14,4.020742e-18,6.9415083e-15,1.737893e-11,7.20624e-18,1.0,3.1269764e-18,1.9494196e-08,8,hcp10m10
1,4.2292292e-10,0.9999987,1.013848e-18,4.353615e-12,8.591021e-11,5.0961886e-15,1.3210203e-12,4.1812303e-15,7.1247683e-07,9.706704e-14,5.6674605e-07,1,bcc110
7,9.25858e-13,5.365737e-13,8.2260164e-11,7.83904e-15,1.0021864e-11,1.3176169e-09,4.3057463e-13,1.0,4.6234065e-15,6.95613e-18,9.0996224e-15,7,hcp0001
8,3.409487e-14,2.4617682e-07,4.625846e-18,1.7534884e-13,3.67596e-14,1.6774219e-12,3.2096256e-10,4.17653e-14,0.9999988,1.842354e-16,9.017845e-07,8,hcp10m10
1,1.413463e-11,1.0,1.1088843e-17,8.598334e-13,3.6964472e-13,7.3686107e-14,2.8946618e-11,2.3644516e-15,1.27555e-08,9.124217e-18,8.9398725e-11,1,bcc110
8,6.0912638e-12,6.7645543e-09,1.6130836e-18,2.02308e-13,3.0973616e-14,1.82297e-12,1.8913106e-07,8.0820775e-15,0.99999976,1.2161989e-18,3.8028364e-10,8,hcp10m10
3,0.022418981,3.6982972e-09,4.0033528e-13,0.977581,1.0935069e-12,9.170356e-17,2.6649673e-13,1.7082597e-19,6.091979e-15,1.1081034e-08,4.0082964e-09,0,bcc100
3,0.050679207,2.6836384e-09,5.26128e-16,0.94932085,2.7576988e-10,4.336747e-18,3.3014803e-16,5.913924e-17,1.1026228e-15,3.5462182e-15,6.9428604e-17,3,fcc100
10,8.216994e-16,3.8978612e-11,1.190176e-18,2.4361688e-15,1.4283898e-16,3.2204163e-21,1.8707796e-13,1.7755467e-22,4.4093853e-09,3.6908797e-14,1.0,10,hcp2m1m10
4,7.224139e-08,1.1165864e-13,1.4024243e-13,4.7530084e-13,0.9999999,1.1628545e-17,2.9458641e-15,2.5805018e-09,2.9422276e-10,8.399417e-15,8.400955e-15,4,fcc110
10,7.3027e-09,4.5784144e-11,2.4758414e-14,8.7458225e-13,1.4622757e-10,2.9174587e-15,4.8621422e-09,3.2271542e-14,1.0357935e-07,2.7355706e-11,0.9999999,10,hcp2m1m10
7,4.616007e-14,1.6542987e-09,4.352984e-11,7.451243e-15,9.488356e-14,4.2555126e-08,7.148607e-14,1.0,1.7544509e-09,1.4810075e-16,1.8601287e-11,7,hcp0001
10,1.2492666e-12,2.6115301e-11,3.7910386e-18,2.3119358e-15,1.2433141e-16,9.881446e-19,2.660785e-10,2.2511874e-24,2.4267246e-09,7.8283976e-16,1.0,10,hcp2m1m10
9,1.7899418e-09,8.643046e-12,1.5009104e-09,1.8880067e-10,3.9602672e-09,1.6891327e-16,1.1397375e-12,3.2478007e-16,3.9334043e-18,1.0,2.6244215e-12,9,hcp11m20
