target_pred_class,prob_predictions_0,prob_predictions_1,prob_predictions_2,prob_predictions_3,prob_predictions_4,prob_predictions_5,prob_predictions_6,prob_predictions_7,prob_predictions_8,prob_predictions_9,prob_predictions_10,num_labels,class_labels
6,8.3969e-27,3.3280964e-22,1.2753498e-24,1.9735148e-32,1.6848333e-24,1.6169086e-12,1.0,6.7720538e-21,3.0648392e-15,4.38242e-28,2.5804517e-36,6,fcc211
7,6.451297e-14,9.3826225e-11,1.04921474e-23,8.3110507e-19,5.3653187e-20,2.0470732e-16,8.0934205e-18,1.0,3.1299448e-20,6.654076e-22,1.41735e-23,7,hcp0001
3,5.2235163e-09,1.0475634e-11,4.7675996e-13,1.0,1.5911644e-15,4.8040253e-15,6.797712e-11,1.0883253e-12,2.0709538e-13,4.3479463e-15,1.614727e-19,3,fcc100
7,2.2464281e-15,4.8005912e-11,5.152988e-21,3.867369e-13,2.6583858e-21,7.420031e-18,1.847791e-15,1.0,4.8272595e-13,1.381867e-25,1.4305877e-23,7,hcp0001
8,1.4987346e-15,1.6209607e-11,4.366385e-20,6.844252e-21,8.00811e-17,1.0480134e-18,1.8465155e-15,1.78385e-14,1.0,1.7172137e-22,5.6883014e-21,8,hcp10m10
2,5.0463475e-13,5.5386797e-14,0.9999999,1.7504027e-13,3.5742505e-12,1.3636623e-13,3.9384156e-12,8.007648e-14,2.978716e-10,8.60605e-08,8.4677486e-15,2,bcc111
4,5.559651e-09,9.849815e-15,3.5828294e-09,1.9625611e-10,1.0,2.1584474e-13,8.278539e-15,1.889941e-14,1.4327141e-13,8.659807e-13,8.598366e-17,4,fcc110
0,1.0,1.4514373e-16,1.8326098e-12,3.327298e-10,1.7592855e-10,1.6209566e-16,5.0337034e-18,8.696478e-15,1.350235e-13,2.1247763e-10,1.5256499e-15,0,bcc100
6,6.2338426e-25,2.1171847e-16,5.183109e-22,8.15291e-12,1.8217032e-18,1.2824044e-16,1.0,1.0197699e-15,4.9096057e-16,3.9587637e-28,6.4036553e-22,6,fcc211
5,3.226673e-15,6.9303356e-17,1.069509e-15,5.924614e-19,1.7187516e-17,1.0,7.570046e-10,9.854078e-12,3.1631707e-19,3.3830562e-17,2.3025512e-17,5,fcc111
7,5.336679e-13,6.1899977e-12,7.7462487e-19,1.7337147e-11,7.568427e-18,5.2282627e-12,2.1697832e-12,1.0,1.995289e-10,6.3385115e-14,8.0140913e-19,7,hcp0001
5,6.368373e-17,1.1491167e-20,1.9302435e-15,3.1288275e-17,6.9216397e-18,1.0,3.0742349e-12,7.527151e-15,1.2835491e-17,1.7998127e-19,6.3751725e-19,5,fcc111
1,7.715307e-13,1.0,1.8023106e-11,3.77865e-11,7.4407554e-13,1.8674287e-09,4.980415e-10,3.7684643e-08,1.625864e-09,9.443894e-16,1.8122744e-13,1,bcc110
4,6.9007744e-10,7.7908603e-16,1.175537e-13,2.9339156e-11,1.0,5.665645e-15,4.581334e-18,2.637354e-15,2.646892e-20,2.565936e-12,2.0669976e-15,4,fcc110
9,3.3973665e-13,2.044725e-15,1.5014837e-08,2.0413963e-16,4.3283055e-14,4.7816027e-18,9.375649e-14,1.8774335e-15,2.1903972e-14,1.0,1.3546791e-14,9,hcp11m20
2,2.4806642e-17,1.5561784e-17,1.0,1.1681466e-15,3.1848243e-16,5.227265e-16,1.9757384e-12,1.2691083e-17,4.995391e-17,5.906815e-17,8.087345e-17,2,bcc111
6,1.7301302e-19,1.0026213e-13,3.8699042e-22,2.001979e-14,5.613777e-22,8.3187304e-18,1.0,3.6069585e-20,8.9133785e-15,3.934864e-16,1.6854185e-24,6,fcc211
